r,v,Nv,Nvib,Et_i,θi,θorient,vib_phase,xi,yi,mN,mO
1.127273441,-0.151099157,0,5.00E+03,25,0,,,8.112323698,19.78112272,14.00674,15.9994
1.113166723,-0.101110919,,,,,,,2.058870596,22.88202724,,
1.105793947,-3.05E-02,,,,,,,1.011622999,10.65298256,,
1.106698529,4.66E-02,,,,,,,,,,
1.115686723,0.113847705,,,,,,,,,,
1.130899711,0.158252052,,,,,,,,,,
1.149454557,0.174317864,,,,,,,,,,
1.168251158,0.163281914,,,,,,,,,,
1.184573641,0.130386326,,,,,,,,,,
1.196377611,8.23E-02,,,,,,,,,,
1.202350936,2.54E-02,,,,,,,,,,
1.201879391,-3.39E-02,,,,,,,,,,
1.195010289,-8.99E-02,,,,,,,,,,
1.182455749,-0.136236957,,,,,,,,,,
1.165632488,-0.166374316,,,,,,,,,,
1.146689442,-0.17375969,,,,,,,,,,
1.1284227,-0.153544599,,,,,,,,,,
1.113945495,-0.105322681,,,,,,,,,,
1.106043899,-3.57E-02,,,,,,,,,,
1.106366002,4.15E-02,,,,,,,,,,
1.114842795,0.109857629,,,,,,,,,,
1.129713863,0.15609096,,,,,,,,,,
1.148140083,0.174124765,,,,,,,,,,
1.167013471,0.164809018,,,,,,,,,,
1.183579274,0.133206098,,,,,,,,,,
1.195743286,8.59E-02,,,,,,,,,,
1.202143801,2.95E-02,,,,,,,,,,
1.202120205,-2.99E-02,,,,,,,,,,
1.195674864,-8.63E-02,,,,,,,,,,
1.183473291,-0.133498888,,,,,,,,,,
1.166882426,-0.164963791,,,,,,,,,,
1.148001706,-0.174096859,,,,,,,,,,
1.129589902,-0.155855401,,,,,,,,,,
1.114755654,-0.109431001,,,,,,,,,,
1.10633324,-4.09E-02,,,,,,,,,,
1.106072528,3.63E-02,,,,,,,,,,
1.114029375,0.105760404,,,,,,,,,,
1.128544831,0.153794389,,,,,,,,,,
1.146827556,0.173801389,,,,,,,,,,
1.165764659,0.166230761,,,,,,,,,,
1.182563912,0.13595207,,,,,,,,,,
1.195081577,8.95E-02,,,,,,,,,,
1.201906192,3.35E-02,,,,,,,,,,
1.202330554,-2.59E-02,,,,,,,,,,
1.196312088,-8.26E-02,,,,,,,,,,
1.184469896,-0.130686786,,,,,,,,,,
1.168121322,-0.16344769,,,,,,,,,,
1.149316021,-0.174303624,,,,,,,,,,
1.130774027,-0.158030795,,,,,,,,,,
1.115596407,-0.113432517,,,,,,,,,,
1.106661669,-4.61E-02,,,,,,,,,,
1.105818414,3.11E-02,,,,,,,,,,
1.113247261,0.101559376,,,,,,,,,,
1.127393633,0.151363089,,,,,,,,,,
1.145517964,0.173346574,,,,,,,,,,
1.164505524,0.167545104,,,,,,,,,,
1.181528117,0.138622045,,,,,,,,,,
1.194392814,9.31E-02,,,,,,,,,,
1.201638219,3.75E-02,,,,,,,,,,
1.202510342,-2.18E-02,,,,,,,,,,
1.196921646,-7.89E-02,,,,,,,,,,
1.185445012,-0.127802845,,,,,,,,,,
1.169348389,-0.161828078,,,,,,,,,,
1.150631408,-0.174381229,,,,,,,,,,
1.131974051,-0.160070177,,,,,,,,,,
1.116466935,-0.117324044,,,,,,,,,,
1.107028843,-5.12E-02,,,,,,,,,,
1.105603924,2.58E-02,,,,,,,,,,
1.112497221,9.73E-02,,,,,,,,,,
1.126261284,0.148797977,,,,,,,,,,
1.144212303,0.172759256,,,,,,,,,,
1.163236885,0.16875004,,,,,,,,,,
1.180472473,0.141213823,,,,,,,,,,
1.193677341,9.66E-02,,,,,,,,,,
1.201340009,4.15E-02,,,,,,,,,,
1.202659483,-1.77E-02,,,,,,,,,,
1.197503237,-7.52E-02,,,,,,,,,,
1.186398107,-0.124849251,,,,,,,,,,
1.170562853,-0.160107047,,,,,,,,,,
1.151946898,-0.174331004,,,,,,,,,,
1.133188946,-0.161973099,,,,,,,,,,
1.117366399,-0.121102575,,,,,,,,,,
1.107434383,-5.63E-02,,,,,,,,,,
1.105429283,2.05E-02,,,,,,,,,,
1.111779998,9.29E-02,,,,,,,,,,
1.125148788,0.146100138,,,,,,,,,,
1.142911575,0.172038472,,,,,,,,,,
1.161959575,0.169843594,,,,,,,,,,
1.179397578,0.143725203,,,,,,,,,,
1.192935521,0.100057314,,,,,,,,,,
1.201011702,4.55E-02,,,,,,,,,,
1.202777908,-1.37E-02,,,,,,,,,,
1.198056575,-7.15E-02,,,,,,,,,,
1.187328663,-0.121828187,,,,,,,,,,
1.171763957,-0.158286711,,,,,,,,,,
1.153261531,-0.174154365,,,,,,,,,,
1.134417682,-0.16373927,,,,,,,,,,
1.118293934,-0.124765284,,,,,,,,,,
1.107877867,-6.13E-02,,,,,,,,,,
1.105294674,1.52E-02,,,,,,,,,,
1.111096307,8.84E-02,,,,,,,,,,
