x,y,z
-20.718062596414693,-110.09182330841888,-348.7340990017423
-61.783262519488105,6.316950797755342,-280.1226897075767
21.317965358734572,-499.852532225107,-260.8228478714748
-592.0390594623206,-6.155714858882262,-291.874949364707
-43.89143106305895,-70.35390341289035,-475.97315604717505
-192.28973579828875,-136.02879674556178,-331.5081895116661
-148.15955588013315,-881.4519632643911,-78.6733171609119
-148.3269929731647,537.7185617715284,-276.5866213137931
-148.18141595764305,-1170.2966202353753,11.054400406952183
566.7234674415495,880.1827421439136,-597.116506543335
-76.84049120247899,35.578874092906254,-690.0389525956754
-76.5301170514954,-128.82936637094537,-329.15443665695295
-76.75470191641939,-1610.0359786663216,109.82572072390134
-76.36338327965916,1122.4379892078491,-262.4552519033202
-76.7171730581413,-1853.4961203656567,213.7468169477556
-76.61542928841462,1562.9502160060595,-799.8648748679753
-76.66020412107227,133.87040351947422,-906.4562946455923
-76.63383179524062,-128.44542199156788,-329.22071049658814
-76.62593441309875,-2292.8450408992494,312.1291051974255
-76.75707290502683,1706.4304031046827,-248.47368156448528
-76.58370221371167,-2536.1732812935284,416.16051594772875
-76.43581570262,2245.0097866129286,-1001.749552767643
-76.64953673446642,231.9634811651811,-1122.2228640978446
-76.85718180157316,-128.13747470070183,-329.3559390203933
-76.42902626282718,-2975.5590906063917,514.3741406155892
-76.48893971918517,2289.950322366395,-234.21320697634602
-76.2786756238613,-3218.506538960942,618.7027005574239
-76.70982683428865,2926.3689066076,-1203.979912248313
-76.6888514678876,330.05357292346196,-1337.9407146811548
-76.64569058405246,-128.1824582093478,-329.4558916715003
-76.85716422442896,-3658.103638254065,716.4034757319388
-76.45707751947934,2873.7535454740305,-220.05267146898635
-76.8122151773646,-3900.4466922140664,821.0300085582234
-76.31501010479745,3607.0390136794435,-1406.0280598294728
-76.53267274252123,427.8978824419227,-1553.5283730323765
-76.7252065601461,-127.78095369074971,-329.63662665573776
-76.30129031627342,-4340.586941087824,918.3024837614963
-77.73326188418982,3458.115128398324,-205.79814666484225
-76.13557105573405,-4582.1072434644,1023.8760119176648
-76.36218783308905,4287.299626407026,-1607.875007076355
-76.6703193331111,526.1250843171398,-1768.662109050785
-76.48949554367479,-127.44966772084916,-329.99780229063964
-76.47462340511008,-5024.576692027369,1120.3307841273563
-74.9385063118621,4040.8661189282107,-191.53260063368225
-76.73775743545599,-5263.505934770351,1226.2810387436894
-76.30652536012263,4967.551443779559,-1811.2855235770721
-76.48638647388077,623.9439241239556,-1984.084247511776
-76.60147613445741,-127.61099971349002,-330.2672226621893
-76.32362771319362,-5704.141903322486,1321.683101905244
-76.08787776552445,4621.200679190514,-177.24671791379788
-76.45198857513013,-5944.112992400864,1428.3167799994412
-76.18804000748194,5645.894809008588,-2010.9331114344222
-76.8134032351759,721.3779099288355,-2198.5195386440378
-76.75003585797253,-127.03551955256879,-331.41067741040365
-76.79732340791683,-6386.361126711286,1522.8402609395123
-80.217211005926,5209.423426811078,-162.48282342091903
-73.47899579729803,-6625.2895204422575,1631.7056212673954
-76.6133287829499,6324.689929022346,-2212.6595086998964
-75.51432287682408,819.6280075424437,-2412.8955851885657
-76.54260800501214,-126.45357671743163,-331.0322593792644
-77.27308046210896,-7076.375946135083,1724.6815509430921
1936.9245471716063,2778.508936117545,-221.4332246560893
1993.5747682192084,-4291.207282400595,1906.843211056853
-12.023794529278232,7005.446407494783,-2420.919977634032
-12.176373791663144,917.4814012784391,-2631.3251337518263
-12.192809889213466,-127.29894638793971,-331.10994493302485
-306.537316393689,-129.75604384185988,-328.7121783405858
794.8257590047609,509.1750762519789,1923.4333861565024
1642.1908214034488,-117.99582273775796,-294.3498736472507
-8013.341946893598,-118.61698139335634,-295.5538852313984
2443.8239289367807,-2550.5603403683604,-146.21692860293842
-8624.507904470891,-151.4012716768912,-289.9534589634244
-178.19723024726608,-154.12281785098736,-293.0244646161051
-177.1031778672546,-155.08493077868604,-293.0360690986365
-178.3611136725581,-153.41984042101242,-293.9608710313819
5248.303249830944,-154.01625082961945,-291.82215389821414
-103.93452014913109,-156.99813637058367,-293.2184215399792
5443.366628310598,-154.18709340305284,-291.49600660365707
-36.49583714145264,-152.9511496851474,-292.82634679845825
-36.327796524502276,-154.51534530369491,-293.0231361214696
-35.6281578754243,-151.3486297963516,-293.9036495859624
-34.87622356911486,-153.95270492487313,-293.73933884379187
-35.92702696517843,-154.72373283027008,-292.7848407484293
-30.759632952702336,-154.7573280491722,-292.6211749793993
-35.84003211193438,-153.05119296237356,-293.4409722676696
-34.98963531714141,-154.76260551346155,-292.9102786363674
-36.42279804888588,-149.23286295305203,-293.90372882320406
-35.704200277700025,-155.08317580529993,-293.24398619986374
-35.493504345120854,-154.9727429955181,-292.33671985634334
-35.784726848649846,-153.8209803656809,-293.1670954895414
-36.29108799223788,-150.52499503922604,-293.1561789348645
-36.054378791336894,-153.90107614130645,-292.9602658906253
-35.97292342145001,-147.52452253902976,-294.7698616573793
-35.761915921685684,-154.15334263397264,-293.53215318558426
-35.918247796970526,-154.81367738486185,-292.94054818276817
-35.37805784016177,-154.12300781215572,-292.0863539437925
-35.92007008049328,-150.08435586677314,-292.86386973939665
-35.11652066007314,-154.24411184083516,-293.30697215358356
-36.25960347130318,-145.73222566962414,-295.181192505918
