x,y,z
3.2473423503683847 nm,3.067957647090342 nm,0.7230409101186639 nm
0.1476142288528112 nm,0.2556239078011318 nm,0.7231593063008371 nm
0.14756718551458486 nm,2.982675749410405 nm,0.48207279419992183 nm
3.2472623893978843 nm,0.1704679841135198 nm,0.48201614397764286 nm
0.1475621256497374 nm,0.08514439757880954 nm,0.2409101527952026 nm
3.2472419979642186 nm,0.34084196044699794 nm,0.24104223378667872 nm
0.2951676611131742 nm,3.067834347526876 nm,0.723225668605084 nm
0.4427666876575507 nm,0.2557402763510112 nm,0.7230668858539575 nm
0.4428470618218488 nm,2.9825430715380987 nm,0.4821040265871485 nm
0.2952292666436147 nm,0.1706027524981415 nm,0.4820076061075955 nm
0.44277409348975916 nm,0.08525438687790826 nm,0.24087609630398693 nm
0.2952849298610153 nm,0.3408697115198435 nm,0.24101494772299434 nm
0.5904368567125934 nm,3.0677314655891026 nm,0.7231827094138892 nm
0.7380888585407085 nm,0.25576940303113666 nm,0.7230713792926907 nm
0.7380544212735783 nm,2.982369977634487 nm,0.4821344158883835 nm
0.5904137294225 nm,0.17075757868523356 nm,0.4819718435026632 nm
0.7380193186553988 nm,0.08525065642395141 nm,0.24089120413734275 nm
0.5903865481697959 nm,0.3408616402527201 nm,0.24102643560210668 nm
0.8857103769778242 nm,3.0679687444577275 nm,0.7232507495707172 nm
1.033245489177293 nm,0.25562533750741884 nm,0.7231928575147542 nm
1.0332699918618824 nm,2.9821746819919825 nm,0.4820309758552216 nm
0.8855527904887694 nm,0.17081222084765876 nm,0.48210803654711143 nm
1.0331816276345673 nm,0.08527754395616537 nm,0.24087924323681192 nm
0.8856628006484368 nm,0.34088116319910267 nm,0.24098797171635986 nm
1.180810140877254 nm,1.2227316995087353e-5 nm,0.723240822239241 nm
1.3284693454213221 nm,0.2556160105244462 nm,0.7231253969547856 nm
1.3284628551281203 nm,2.982039748575674 nm,0.4820856142321791 nm
1.180835710669411 nm,0.1710747846742215 nm,0.4820275744903332 nm
1.3284857192220634 nm,0.08533250998492901 nm,0.24076717478437648 nm
1.1808384399776204 nm,0.3408819909012761 nm,0.2410292599141474 nm
1.476112644051513 nm,3.0679814186883143 nm,0.7232854129622575 nm
1.6236710731292794 nm,0.25558309565176895 nm,0.7231092033056251 nm
1.6236965465619762 nm,2.9818675135036923 nm,0.48206254679846927 nm
1.4760156989348672 nm,0.17116697506927864 nm,0.48204238572553876 nm
1.6236571055666564 nm,0.08534709050841052 nm,0.24076235963646517 nm
1.4760870707673703 nm,0.34083525985465774 nm,0.2409856435830482 nm
1.7712872434966849 nm,3.0679696899618207 nm,0.7233591941301468 nm
1.9187552557099137 nm,0.2559325806155856 nm,0.723103676070671 nm
