x,y,z
-127704.31419521307 kJ nm⁻¹ mol⁻¹,-203190.73078011436 kJ nm⁻¹ mol⁻¹,-327487.9243504971 kJ nm⁻¹ mol⁻¹
-56078.52936063498 kJ nm⁻¹ mol⁻¹,10807.858837740647 kJ nm⁻¹ mol⁻¹,-256586.46243397225 kJ nm⁻¹ mol⁻¹
-20233.27209399536 kJ nm⁻¹ mol⁻¹,-569483.5858837338 kJ nm⁻¹ mol⁻¹,-283594.81003170845 kJ nm⁻¹ mol⁻¹
-674685.1974939407 kJ nm⁻¹ mol⁻¹,6953.933063084643 kJ nm⁻¹ mol⁻¹,-429069.61890736315 kJ nm⁻¹ mol⁻¹
-40586.67056965549 kJ nm⁻¹ mol⁻¹,-278420.5165534271 kJ nm⁻¹ mol⁻¹,-493974.46945488424 kJ nm⁻¹ mol⁻¹
-898967.7725154913 kJ nm⁻¹ mol⁻¹,-206456.6245134635 kJ nm⁻¹ mol⁻¹,-357994.6927295988 kJ nm⁻¹ mol⁻¹
197311.87778616327 kJ nm⁻¹ mol⁻¹,-1.0043391179676608e6 kJ nm⁻¹ mol⁻¹,-121704.75026020354 kJ nm⁻¹ mol⁻¹
-231399.80806749835 kJ nm⁻¹ mol⁻¹,459490.3833233088 kJ nm⁻¹ mol⁻¹,-305563.12248312135 kJ nm⁻¹ mol⁻¹
-231514.48534757362 kJ nm⁻¹ mol⁻¹,-1.2484633942354957e6 kJ nm⁻¹ mol⁻¹,-17944.58331873163 kJ nm⁻¹ mol⁻¹
482966.6726960972 kJ nm⁻¹ mol⁻¹,802332.5115284345 kJ nm⁻¹ mol⁻¹,-626016.6871594671 kJ nm⁻¹ mol⁻¹
-160026.066502051 kJ nm⁻¹ mol⁻¹,-42581.68364870902 kJ nm⁻¹ mol⁻¹,-719033.3882925292 kJ nm⁻¹ mol⁻¹
697083.2427818149 kJ nm⁻¹ mol⁻¹,-206550.57924824557 kJ nm⁻¹ mol⁻¹,-357998.8037750831 kJ nm⁻¹ mol⁻¹
-88604.3411139642 kJ nm⁻¹ mol⁻¹,-1.6877732245205406e6 kJ nm⁻¹ mol⁻¹,80854.38574160822 kJ nm⁻¹ mol⁻¹
-88919.1715319336 kJ nm⁻¹ mol⁻¹,1.0445754009106698e6 kJ nm⁻¹ mol⁻¹,-291409.6227271932 kJ nm⁻¹ mol⁻¹
-88602.17569342647 kJ nm⁻¹ mol⁻¹,-1.93159428719454e6 kJ nm⁻¹ mol⁻¹,184799.44015554266 kJ nm⁻¹ mol⁻¹
-88526.98721895299 kJ nm⁻¹ mol⁻¹,1.4850210534344946e6 kJ nm⁻¹ mol⁻¹,-828442.5385814118 kJ nm⁻¹ mol⁻¹
-88654.87335184011 kJ nm⁻¹ mol⁻¹,55876.24408812568 kJ nm⁻¹ mol⁻¹,-935295.9516929609 kJ nm⁻¹ mol⁻¹
-88440.19631332178 kJ nm⁻¹ mol⁻¹,-206485.13731190676 kJ nm⁻¹ mol⁻¹,-358174.9390131238 kJ nm⁻¹ mol⁻¹
-88769.92563936555 kJ nm⁻¹ mol⁻¹,-2.371825067547538e6 kJ nm⁻¹ mol⁻¹,283257.138094012 kJ nm⁻¹ mol⁻¹
-88754.52455668878 kJ nm⁻¹ mol⁻¹,1.6302408895402036e6 kJ nm⁻¹ mol⁻¹,-277293.49154927913 kJ nm⁻¹ mol⁻¹
-88523.0103003315 kJ nm⁻¹ mol⁻¹,-2.6142747227619905e6 kJ nm⁻¹ mol⁻¹,387713.2688876659 kJ nm⁻¹ mol⁻¹
-88281.82070748966 kJ nm⁻¹ mol⁻¹,2.167626547642326e6 kJ nm⁻¹ mol⁻¹,-1.031514484175168e6 kJ nm⁻¹ mol⁻¹
-88453.51869394489 kJ nm⁻¹ mol⁻¹,154279.75620531596 kJ nm⁻¹ mol⁻¹,-1.1513180742255205e6 kJ nm⁻¹ mol⁻¹
-88721.91721902574 kJ nm⁻¹ mol⁻¹,-206417.09523114568 kJ nm⁻¹ mol⁻¹,-358038.8483494528 kJ nm⁻¹ mol⁻¹
-88400.58481998496 kJ nm⁻¹ mol⁻¹,-3.0557870502151083e6 kJ nm⁻¹ mol⁻¹,485415.8995538525 kJ nm⁻¹ mol⁻¹
-88359.98875888878 kJ nm⁻¹ mol⁻¹,2.2152918630073676e6 kJ nm⁻¹ mol⁻¹,-262959.77483152796 kJ nm⁻¹ mol⁻¹
-88512.39228635385 kJ nm⁻¹ mol⁻¹,-3.2965853035868173e6 kJ nm⁻¹ mol⁻¹,590450.4914664351 kJ nm⁻¹ mol⁻¹
-88566.89619676404 kJ nm⁻¹ mol⁻¹,2.848992133597875e6 kJ nm⁻¹ mol⁻¹,-1.234328314348974e6 kJ nm⁻¹ mol⁻¹
-88794.52996634376 kJ nm⁻¹ mol⁻¹,252402.15308938822 kJ nm⁻¹ mol⁻¹,-1.3669084639037934e6 kJ nm⁻¹ mol⁻¹
-88613.81999020952 kJ nm⁻¹ mol⁻¹,-206270.9394009061 kJ nm⁻¹ mol⁻¹,-358433.2194592138 kJ nm⁻¹ mol⁻¹
-88703.6849575207 kJ nm⁻¹ mol⁻¹,-3.7389838072688775e6 kJ nm⁻¹ mol⁻¹,687442.0841737695 kJ nm⁻¹ mol⁻¹
-88916.98680315357 kJ nm⁻¹ mol⁻¹,2.7998261839921875e6 kJ nm⁻¹ mol⁻¹,-248678.36643834287 kJ nm⁻¹ mol⁻¹
-88368.90839554461 kJ nm⁻¹ mol⁻¹,-3.97857017336659e6 kJ nm⁻¹ mol⁻¹,793084.6441858953 kJ nm⁻¹ mol⁻¹
-88289.04093620337 kJ nm⁻¹ mol⁻¹,3.5300763600289305e6 kJ nm⁻¹ mol⁻¹,-1.436640827368282e6 kJ nm⁻¹ mol⁻¹
-88361.22512582444 kJ nm⁻¹ mol⁻¹,350580.80257715506 kJ nm⁻¹ mol⁻¹,-1.582475117512692e6 kJ nm⁻¹ mol⁻¹
-88580.35561253892 kJ nm⁻¹ mol⁻¹,-205868.1108362478 kJ nm⁻¹ mol⁻¹,-358476.9093586085 kJ nm⁻¹ mol⁻¹
-88425.577022522 kJ nm⁻¹ mol⁻¹,-4.421782840977948e6 kJ nm⁻¹ mol⁻¹,889469.3142803105 kJ nm⁻¹ mol⁻¹
-86596.71020816876 kJ nm⁻¹ mol⁻¹,3.3814111630983134e6 kJ nm⁻¹ mol⁻¹,-234605.35551725476 kJ nm⁻¹ mol⁻¹
-88819.99009548129 kJ nm⁻¹ mol⁻¹,-4.659962769287266e6 kJ nm⁻¹ mol⁻¹,995055.7828958647 kJ nm⁻¹ mol⁻¹
-88060.5367476764 kJ nm⁻¹ mol⁻¹,4.210346474284107e6 kJ nm⁻¹ mol⁻¹,-1.6396659411670791e6 kJ nm⁻¹ mol⁻¹
-88864.35939786052 kJ nm⁻¹ mol⁻¹,448270.214484644 kJ nm⁻¹ mol⁻¹,-1.797204263445812e6 kJ nm⁻¹ mol⁻¹
