x,y,z
-0.38344070529818064 nm ps⁻¹,-0.45062394063510947 nm ps⁻¹,-0.8659453236751706 nm ps⁻¹
-0.09751117510238175 nm ps⁻¹,-0.07990634063624434 nm ps⁻¹,-0.34744904338338745 nm ps⁻¹
-0.18458658962684982 nm ps⁻¹,-1.2843756675499076 nm ps⁻¹,-0.5369464440869051 nm ps⁻¹
-1.6281591878220631 nm ps⁻¹,0.11537682804206582 nm ps⁻¹,-0.9842959232416568 nm ps⁻¹
-0.23764694938091352 nm ps⁻¹,-0.7308938272753085 nm ps⁻¹,-1.3072744063096366 nm ps⁻¹
-2.09484109466969 nm ps⁻¹,-0.49627030134550465 nm ps⁻¹,-0.6254143023765046 nm ps⁻¹
0.1750357784320974 nm ps⁻¹,-2.2680675652209366 nm ps⁻¹,0.11457811942047157 nm ps⁻¹
-0.6186515136638308 nm ps⁻¹,1.0881357348631169 nm ps⁻¹,-0.741548397919155 nm ps⁻¹
-0.35085340457187614 nm ps⁻¹,-2.9335851440562473 nm ps⁻¹,0.039257885845418984 nm ps⁻¹
0.8882349796676523 nm ps⁻¹,1.9784556653270757 nm ps⁻¹,-1.3628866989621575 nm ps⁻¹
-0.4670385053470362 nm ps⁻¹,0.05502681723213049 nm ps⁻¹,-1.821042052710843 nm ps⁻¹
1.4545443667860571 nm ps⁻¹,-0.40380204382996204 nm ps⁻¹,-0.7163374258238909 nm ps⁻¹
-0.15933529298948804 nm ps⁻¹,-3.7765942488720468 nm ps⁻¹,0.34699383853038523 nm ps⁻¹
0.21607888387250807 nm ps⁻¹,1.8822827802773774 nm ps⁻¹,-0.7086267318921133 nm ps⁻¹
-0.18062919834433092 nm ps⁻¹,-4.753711111830799 nm ps⁻¹,0.3638502436037947 nm ps⁻¹
-0.22442002125903576 nm ps⁻¹,3.687351359817286 nm ps⁻¹,-1.850711325651576 nm ps⁻¹
-0.2343422383051605 nm ps⁻¹,0.19617923680078442 nm ps⁻¹,-2.16411386003255 nm ps⁻¹
-0.3149204539694175 nm ps⁻¹,-0.4521777921786959 nm ps⁻¹,-0.6868135119022003 nm ps⁻¹
0.04058221842269348 nm ps⁻¹,-3.1533519321089365 nm ps⁻¹,0.9323572179825295 nm ps⁻¹
0.12569388394695627 nm ps⁻¹,1.3369907287313512 nm ps⁻¹,-0.31465014571084376 nm ps⁻¹
-0.20079408049227854 nm ps⁻¹,-6.658944696326487 nm ps⁻¹,-0.07059087044653624 nm ps⁻¹
-0.472222986451566 nm ps⁻¹,4.8834004254028605 nm ps⁻¹,-1.3818798434470014 nm ps⁻¹
-0.4047404397271444 nm ps⁻¹,0.4355493491949728 nm ps⁻¹,-2.598407519854576 nm ps⁻¹
-0.10598273486953654 nm ps⁻¹,-0.41233195253430893 nm ps⁻¹,-0.8246342345696678 nm ps⁻¹
-0.33810566441350803 nm ps⁻¹,-2.6605598756755557 nm ps⁻¹,1.2266695174745401 nm ps⁻¹
-0.59803368377935 nm ps⁻¹,1.926197915890581 nm ps⁻¹,-0.5359396670421728 nm ps⁻¹
-0.08530924649955979 nm ps⁻¹,-8.305670544482389 nm ps⁻¹,0.2957459912228278 nm ps⁻¹
-0.26507382382263495 nm ps⁻¹,6.714164855611711 nm ps⁻¹,-1.3975257304905027 nm ps⁻¹
-0.12704046341026115 nm ps⁻¹,0.8111983689031067 nm ps⁻¹,-3.3488012926970407 nm ps⁻¹
-0.2559769386615559 nm ps⁻¹,-0.3917510734166597 nm ps⁻¹,-0.6800535187783444 nm ps⁻¹
-0.06570375896764975 nm ps⁻¹,-4.7249149124929914 nm ps⁻¹,1.816156477831667 nm ps⁻¹
-0.23286616940152227 nm ps⁻¹,3.1732289558343174 nm ps⁻¹,-0.5466127785428894 nm ps⁻¹
-0.14748548697835745 nm ps⁻¹,-10.091000721744418 nm ps⁻¹,0.7270804696745836 nm ps⁻¹
-0.388422435324532 nm ps⁻¹,8.41341521635996 nm ps⁻¹,-2.0923931382143546 nm ps⁻¹
-0.27888466274067514 nm ps⁻¹,1.0384643041031836 nm ps⁻¹,-3.747932463358032 nm ps⁻¹
-0.15077480572987229 nm ps⁻¹,-0.5433603286136485 nm ps⁻¹,-0.8242075375796906 nm ps⁻¹
-0.20701783605630633 nm ps⁻¹,-5.879430853511205 nm ps⁻¹,2.3492054412145884 nm ps⁻¹
-1.3003921008519284 nm ps⁻¹,6.015364024146805 nm ps⁻¹,-0.5257472912826774 nm ps⁻¹
0.21678796544818812 nm ps⁻¹,-11.80902185174591 nm ps⁻¹,1.715121814486426 nm ps⁻¹
-0.3195075018530873 nm ps⁻¹,10.092152947270575 nm ps⁻¹,-2.1224608738178 nm ps⁻¹
-0.17208174907294496 nm ps⁻¹,1.3191454853798397 nm ps⁻¹,-4.711600957286508 nm ps⁻¹
-0.04572798854519831 nm ps⁻¹,-0.30553047674260575 nm ps⁻¹,-1.0047961585868739 nm ps⁻¹
-0.5481879308271433 nm ps⁻¹,-11.221936765435984 nm ps⁻¹,3.131838643818948 nm ps⁻¹
0.49737785392481115 nm ps⁻¹,7.972532693002628 nm ps⁻¹,-0.5292666578676106 nm ps⁻¹
-0.45446016626852664 nm ps⁻¹,-13.752877851090632 nm ps⁻¹,2.378758341633058 nm ps⁻¹
-0.2030725560880039 nm ps⁻¹,12.41596705575877 nm ps⁻¹,-4.199975402333314 nm ps⁻¹
-0.1939638731381941 nm ps⁻¹,1.3721829420577074 nm ps⁻¹,-4.90428884918988 nm ps⁻¹
-0.12084200215999391 nm ps⁻¹,-0.5216427741623401 nm ps⁻¹,-0.9989201631267729 nm ps⁻¹
-0.39164916346578726 nm ps⁻¹,-10.461195945658867 nm ps⁻¹,3.300123320416316 nm ps⁻¹
-0.35514881860899367 nm ps⁻¹,7.93397833569928 nm ps⁻¹,-0.5395026290117728 nm ps⁻¹
-0.24253807123296978 nm ps⁻¹,-15.242715159822959 nm ps⁻¹,2.1571206505985434 nm ps⁻¹
-0.12249585666502238 nm ps⁻¹,13.666010157738278 nm ps⁻¹,-3.720736816267522 nm ps⁻¹
-0.10673772718053892 nm ps⁻¹,1.5844081038378497 nm ps⁻¹,-5.474520607630461 nm ps⁻¹
-0.2631403341499338 nm ps⁻¹,-0.47449621610094944 nm ps⁻¹,-0.8435111952211801 nm ps⁻¹
-0.25970787178178584 nm ps⁻¹,-11.101886983635193 nm ps⁻¹,4.17607359886683 nm ps⁻¹
1.5091166369049607 nm ps⁻¹,6.307548289877893 nm ps⁻¹,-0.25986257015549624 nm ps⁻¹
-0.7240672485419339 nm ps⁻¹,-17.170751788534368 nm ps⁻¹,1.7172591436254565 nm ps⁻¹
-0.41007922890528076 nm ps⁻¹,15.149856854691098 nm ps⁻¹,-3.938626543005461 nm ps⁻¹
-0.42849489560607895 nm ps⁻¹,1.9288116162460205 nm ps⁻¹,-6.180668115732399 nm ps⁻¹
-0.12250343926155627 nm ps⁻¹,-0.5814474109540015 nm ps⁻¹,-0.6485421238398454 nm ps⁻¹
-0.10397050827698173 nm ps⁻¹,-5.910214349505651 nm ps⁻¹,4.651733238548597 nm ps⁻¹
1.1882274104311261 nm ps⁻¹,1.5498963996128532 nm ps⁻¹,-0.8402718779890155 nm ps⁻¹
6.010071326956624 nm ps⁻¹,-11.158696611480575 nm ps⁻¹,3.058165838815564 nm ps⁻¹
-0.2835143141268196 nm ps⁻¹,16.02917082757831 nm ps⁻¹,-2.17323613511955 nm ps⁻¹
6.832117702120181e-5 nm ps⁻¹,2.2615311657936523 nm ps⁻¹,-6.633124274128129 nm ps⁻¹
0.023192315393975236 nm ps⁻¹,-0.29008017506779304 nm ps⁻¹,-0.8871485950038482 nm ps⁻¹
-9.033511398391244 nm ps⁻¹,0.4416550519007266 nm ps⁻¹,2.0500690422317622 nm ps⁻¹
3.2922275742639684 nm ps⁻¹,-2.2657726920158945 nm ps⁻¹,1.1111564572809376 nm ps⁻¹
5.319784787233515 nm ps⁻¹,4.019040418790701 nm ps⁻¹,1.4879873234592282 nm ps⁻¹
-6.785576250487302 nm ps⁻¹,-0.289414250204521 nm ps⁻¹,-0.8408436415097413 nm ps⁻¹
5.73553595601595 nm ps⁻¹,1.8405131158312165 nm ps⁻¹,2.8561397197384535 nm ps⁻¹
-15.166939386660752 nm ps⁻¹,-0.3309083853010743 nm ps⁻¹,-0.5339725575068756 nm ps⁻¹
6.386560876170648 nm ps⁻¹,-0.39816419492152855 nm ps⁻¹,-0.3770300100225599 nm ps⁻¹
-0.32380542463265 nm ps⁻¹,-0.553989195156261 nm ps⁻¹,-0.6256713670177563 nm ps⁻¹
