x,y,z
6.266554307306274e-6 nm,3.0678328386995806 nm,0.7230179573120106 nm
0.14769183322890098 nm,0.2556873346180629 nm,0.7230564843701917 nm
0.14759583213838548 nm,2.9826538847384985 nm,0.4819204690169867 nm
3.2472670525263405 nm,0.17044876439927337 nm,0.48194261021524154 nm
0.14758906170685074 nm,0.08519736858424518 nm,0.24101517474638548 nm
3.2472310474263715 nm,0.3408373286623 nm,0.24100205475935615 nm
0.2952145607436869 nm,3.0679772615118477 nm,0.7230399546510826 nm
0.44276701749494984 nm,0.25554723041490573 nm,0.722996437007557 nm
0.4427826988270887 nm,2.982500919675063 nm,0.4819630403411429 nm
0.29527241334851684 nm,0.1705642411928855 nm,0.4820151621695088 nm
0.4427656463136205 nm,0.08525895991393588 nm,0.24091370740202722 nm
0.29526725878721277 nm,0.3409119856027166 nm,0.24093666726105478 nm
0.5903937876184411 nm,3.0678741591787047 nm,0.723162001405133 nm
0.7379965155108905 nm,0.25570716044039943 nm,0.7230051427117669 nm
0.7380593684758369 nm,2.982332496999433 nm,0.48207720217309546 nm
0.5904332193562457 nm,0.17074180445917217 nm,0.48200448527732465 nm
0.7380304262059383 nm,0.08523728270473506 nm,0.2409005703607675 nm
0.590397797785302 nm,0.34091438304679517 nm,0.24103162491215369 nm
0.8856383139656295 nm,3.0676411475129024 nm,0.723218734805282 nm
1.0333111264672834 nm,0.2558323952542627 nm,0.7230637066681878 nm
1.0331944956226733 nm,2.9821911154613474 nm,0.4821181371136497 nm
0.8857014329175554 nm,0.17099268415399504 nm,0.48193832626985106 nm
1.0332156083258253 nm,0.0853151074303149 nm,0.24088643704234514 nm
0.885618331193184 nm,0.3409095302012468 nm,0.24097159570566068 nm
1.180825942881387 nm,3.0678122479865526 nm,0.7232731575000466 nm
1.3284207592880373 nm,0.2557220579344129 nm,0.7230442737999003 nm
1.3285140114130118 nm,2.9820345627660663 nm,0.48202199294718534 nm
1.1808162585323312 nm,0.1710275332383123 nm,0.4820105385289356 nm
1.328453268271895 nm,0.08527174488470537 nm,0.24091564474164984 nm
1.1808950519079688 nm,0.34083434411068014 nm,0.24099166397863134 nm
1.4759899834692105 nm,3.06775851180811 nm,0.7233337026860341 nm
1.6235846182848974 nm,0.25590590006911657 nm,0.7231024939647428 nm
1.6237200240157492 nm,2.981863303331151 nm,0.482090957637178 nm
1.4760489845055422 nm,0.17123010400801109 nm,0.48198466642205995 nm
1.623642461328094 nm,0.08534257108228951 nm,0.2408444051019601 nm
1.4760124594650164 nm,0.340881958810272 nm,0.24096541838975158 nm
1.7712659079530781 nm,3.067364008687926 nm,0.7233935835368754 nm
1.9190398693399864 nm,0.25598677675070425 nm,0.7231258058303293 nm
1.9188475149483826 nm,2.981669776623785 nm,0.48215070304854946 nm
1.771311382636412 nm,0.17131810084821586 nm,0.48181657222415164 nm
1.9188396260120186 nm,0.08542528009779196 nm,0.24092324067433415 nm
1.7712731873637453 nm,0.34081282217643144 nm,0.24092266122750539 nm
2.0664965156768234 nm,3.0676963195075597 nm,0.7234152809562157 nm
2.2141433729004887 nm,0.2557622281761624 nm,0.7230255417290866 nm
2.2141073412748793 nm,2.981566133000913 nm,0.4820376126529114 nm
2.0664571007797377 nm,0.1714390980932485 nm,0.48194398590525966 nm
2.214119413884967 nm,0.08539080226508894 nm,0.2408211798724348 nm
2.0664829401965314 nm,0.34084896014143934 nm,0.24094683759975585 nm
2.361703042493852 nm,3.067934674615443 nm,0.7234486165588299 nm
2.5090510396263737 nm,0.25598477004633424 nm,0.7230807720718142 nm
2.509431499516907 nm,2.9813825676322367 nm,0.4821685349668715 nm
2.361667885218684 nm,0.17156099234414557 nm,0.4820333137758332 nm
2.5093248850893324 nm,0.0854283636113554 nm,0.24079970223121056 nm
2.361758217201238 nm,0.34083306614495595 nm,0.2410138474689144 nm
2.6569689589339807 nm,3.067100044352867 nm,0.7235562374107691 nm
2.8047324225022257 nm,0.2561954573367589 nm,0.7231540791526246 nm
2.8044702845273655 nm,2.9812373569969166 nm,0.4822060829228608 nm
2.656958521286835 nm,0.17181692771609236 nm,0.4817434929855714 nm
2.8045785526785383 nm,0.08547567907727703 nm,0.24089460312988709 nm
2.6569590053398695 nm,0.3408483601496563 nm,0.24102596763957107 nm
2.9521488432227234 nm,3.067585826784935 nm,0.7235846488889834 nm
3.0999407664067267 nm,0.25573570165077775 nm,0.7230663502033492 nm
3.10029556707946 nm,2.9818176438792428 nm,0.48230459347938714 nm
2.9521629603696877 nm,0.17182159829390056 nm,0.4819021439940537 nm
3.0998864208486094 nm,0.08546032679955698 nm,0.24064220623405508 nm
2.9522458067112765 nm,0.34090633547387483 nm,0.24096928421749686 nm
3.246275089131766 nm,0.5113423530362076 nm,0.7234213436586614 nm
0.14790944615138554 nm,0.7670751200316941 nm,0.7234729614414765 nm
0.14804555590891597 nm,0.4260969799304099 nm,0.48211823386478303 nm
3.246102491432424 nm,0.6817687137900881 nm,0.48205533186764404 nm
0.14806795300706962 nm,0.5965241879845365 nm,0.24101436411970945 nm
3.246047565598759 nm,0.852175846012986 nm,0.24101037325096472 nm
0.2959047033530371 nm,0.5113373888825706 nm,0.7231064981679154 nm
0.44280430097802914 nm,0.7669769250455696 nm,0.7231015206757465 nm
0.4428150350086659 nm,0.42607292562768423 nm,0.48208961001437545 nm
0.2960275687003627 nm,0.6817521447734601 nm,0.48203634707019244 nm
0.44280057564072905 nm,0.5965320014076496 nm,0.24094922214037395 nm
0.2960382154882614 nm,0.8522103234330282 nm,0.24100010778701236 nm
0.5904034466308002 nm,0.5113548013775783 nm,0.7231161209492628 nm
0.7379811208183881 nm,0.7669247109899079 nm,0.7231223763098968 nm
0.7380276057229539 nm,0.42609775629998703 nm,0.48206490180682593 nm
0.5903803491284857 nm,0.6817173434050792 nm,0.48201292994273043 nm
0.7380700696980833 nm,0.5965570876143125 nm,0.2409970187883721 nm
0.5904446526110254 nm,0.852175884702111 nm,0.24096539526882776 nm
0.8856430457994311 nm,0.5113424155164978 nm,0.7231224678143885 nm
1.0332751218651395 nm,0.7670331321998983 nm,0.7230973356895023 nm
1.0332858605337802 nm,0.4260729032646099 nm,0.482015673461252 nm
0.8856990686610043 nm,0.6817217475049403 nm,0.48201167395591904 nm
1.0332531689823197 nm,0.5965192140097421 nm,0.24096216506937695 nm
0.8856218042884795 nm,0.8521664716487964 nm,0.2409496800941942 nm
1.1808578196651556 nm,0.5112585991052606 nm,0.7231140360939367 nm
1.3284774787736027 nm,0.7670082542822696 nm,0.7231304888327675 nm
1.3285004288734097 nm,0.4261296158047131 nm,0.48207237187291296 nm
1.180869616425019 nm,0.681743265649323 nm,0.48202875964607594 nm
1.3284623402853881 nm,0.5965240652084278 nm,0.24103111869103455 nm
1.1808411611540721 nm,0.8521533079581721 nm,0.24095683164551024 nm
