x,y,z
2.8470469747184275e-6 nm,3.0677627743178566 nm,0.7229077846014299 nm
0.14772223448898944 nm,0.2556853681452339 nm,0.7229666737275298 nm
0.14759244002440128 nm,2.982557668219096 nm,0.48180433621827057 nm
3.247166267150714 nm,0.17044768976909566 nm,0.4818141940494348 nm
0.14758512037666716 nm,0.0851584678930591 nm,0.24093726539747298 nm
3.247094130781691 nm,0.34079640758187696 nm,0.2409189011668869 nm
0.2951896166123367 nm,3.0679058891417195 nm,0.7229637374646939 nm
0.44271459050655565 nm,0.2555300647216502 nm,0.7228868756202433 nm
0.44274590803895875 nm,2.9822844710242755 nm,0.48187568780656775 nm
0.295338534339951 nm,0.17067620776179293 nm,0.4819115465368981 nm
0.44272801561994907 nm,0.08526701362581561 nm,0.2408052345414916 nm
0.2953534336364525 nm,0.34089719445690636 nm,0.24083584156055077 nm
0.5903699478996955 nm,3.067690601266964 nm,0.7231527555691787 nm
0.7379630460243178 nm,0.25581567910190434 nm,0.7229045502000541 nm
0.7380562520531909 nm,2.9819914005279218 nm,0.4820592518340469 nm
0.5904221276073852 nm,0.17098687797560252 nm,0.4818734189521807 nm
0.7380155499557444 nm,0.08525048848823358 nm,0.2407917668960513 nm
0.5903748974325128 nm,0.34090156473450456 nm,0.24096648004333798 nm
0.8856232218963211 nm,3.0672893148234257 nm,0.7232534883912788 nm
1.0333284373610823 nm,0.25603646044801537 nm,0.7229879819880973 nm
1.0331593419199638 nm,2.981732707334926 nm,0.48213661716968065 nm
0.8857077739410342 nm,0.17139456013735177 nm,0.48175888326016003 nm
1.0331905029775184 nm,0.0853650663349892 nm,0.24077635970906175 nm
0.8855969772567353 nm,0.34089470864023685 nm,0.2408898639280094 nm
1.1808014324349976 nm,3.0674887032113585 nm,0.7233485411571196 nm
1.3283916785087808 nm,0.2559235655473361 nm,0.7229662128013516 nm
1.3285160071234419 nm,2.9814543794685875 nm,0.4820222584690707 nm
1.1807885307672392 nm,0.17150299309543782 nm,0.4818547103767401 nm
1.3284350188313307 nm,0.0853185314379701 nm,0.24081894578725152 nm
1.1808935705447965 nm,0.3407945445836782 nm,0.2409202485335992 nm
1.4759478046280954 nm,3.067358715333383 nm,0.7234534643366201 nm
1.623520236295498 nm,0.25624466039533295 nm,0.723049291213885 nm
1.6237227571544126 nm,2.9811578913712524 nm,0.4821448649327664 nm
1.4760260726084329 nm,0.1718417034290348 nm,0.4818072594420045 nm
1.6236145153380759 nm,0.08542507749473063 nm,0.24072794477828824 nm
1.4759773743045375 nm,0.34085894619408297 nm,0.24088920814963874 nm
1.7712429346328964 nm,3.0667166820742033 nm,0.7235607579850833 nm
1.9190928772282534 nm,0.25640628998141474 nm,0.7230857196242152 nm
1.918810246448517 nm,2.9808296935740373 nm,0.4822473106549803 nm
1.7713039604227625 nm,0.17203719201139633 nm,0.4815458527549658 nm
1.9188054581757148 nm,0.08554615228789528 nm,0.2408364862593858 nm
1.7712530324697902 nm,0.34076640891587573 nm,0.2408356256813284 nm
2.06647844726077 nm,3.0671703569856597 nm,0.7236141523162444 nm
2.214186422092474 nm,0.2560539034107319 nm,0.7229541711331272 nm
2.2140775692692256 nm,2.9806187318096757 nm,0.48207737997751227 nm
2.0664267038695256 nm,0.17225400742139507 nm,0.48172567909761344 nm
2.214106925933733 nm,0.08551004113014408 nm,0.24070351717984445 nm
2.066461150474326 nm,0.34081322665699926 nm,0.24087091159699262 nm
2.3616822645605815 nm,3.0675850300698966 nm,0.7236749260653788 nm
2.5088610715069413 nm,0.256433242464363 nm,0.7230326464799752 nm
2.509472093239607 nm,2.980307704361131 nm,0.48228369053483927 nm
2.361634209029196 nm,0.17245793825640057 nm,0.48189466355969846 nm
2.509307336487306 nm,0.08557339865515541 nm,0.24067936882591603 nm
2.361754615274903 nm,0.34079412673307885 nm,0.24096467844620034 nm
2.656963252954314 nm,3.066175313310413 nm,0.7238560157758024 nm
2.8048090616667594 nm,0.2568484644084429 nm,0.7231383683914893 nm
2.8044208731619493 nm,2.9800453096843875 nm,0.4823884180518965 nm
2.6569497296798397 nm,0.17291087951843764 nm,0.4813977419598571 nm
2.804573612307409 nm,0.08564754460480056 nm,0.2408094005989838 nm
2.6569503971584916 nm,0.3408144178958803 nm,0.24098431300682333 nm
2.9521311267213255 nm,3.06683753480938 nm,0.7239092394406833 nm
3.100154559662696 nm,0.25598419941004663 nm,0.7230186675481125 nm
3.100677060976941 nm,2.981057608846771 nm,0.4825492108806948 nm
2.9521561502211857 nm,0.17296987790296584 nm,0.48163107497959995 nm
3.099976732749741 nm,0.08563267650317813 nm,0.24035760035212614 nm
2.9522675060399948 nm,0.3408925021402881 nm,0.24091087847235154 nm
3.2451711616675847 nm,0.5113900990248578 nm,0.723709778366811 nm
0.1482427961070431 nm,0.767147241768109 nm,0.7237852670870101 nm
0.14851515596386525 nm,0.4260747347056409 nm,0.48210172669241225 nm
3.2448211730315712 nm,0.6817484390350309 nm,0.48201784140360665 nm
0.14854746472513625 nm,0.5964964539109595 nm,0.2409778588830422 nm
3.244716490826422 nm,0.8521434564709849 nm,0.2409724883299219 nm
0.2966383913188135 nm,0.511321209325992 nm,0.7230714701265842 nm
0.4427794715369362 nm,0.7669520729067267 nm,0.7230648505611174 nm
0.4427937650354415 nm,0.4260425375102281 nm,0.4820634721977606 nm
0.2968311365136696 nm,0.6817263233581414 nm,0.4819925306857072 nm
0.4427817714798269 nm,0.5965067095128268 nm,0.24089089884579673 nm
0.29686708679252094 nm,0.8521893650534441 nm,0.24095872788067785 nm
0.5903899902290018 nm,0.5113444002999856 nm,0.7230842818653153 nm
0.737957334494847 nm,0.7668824962051377 nm,0.7230925998698068 nm
0.7380192858654469 nm,0.426075729513621 nm,0.4820305657782716 nm
0.5903592382470141 nm,0.6816799437961415 nm,0.48196127519125265 nm
0.738075888766123 nm,0.596540192623486 nm,0.24095464889427345 nm
0.5904449440949507 nm,0.8521434517632352 nm,0.24091249794784575 nm
0.8856370306971124 nm,0.5113279230422996 nm,0.7230927328228883 nm
1.033276939527972 nm,0.7670270059879254 nm,0.7230592268641898 nm
1.0332912569766575 nm,0.4260426365899653 nm,0.48196493072515384 nm
0.8857117040968291 nm,0.681685823053693 nm,0.48195962172397544 nm
1.0332476915374096 nm,0.5964897008570559 nm,0.24090818412382975 nm
0.8856087183965476 nm,0.8521309200941517 nm,0.24089155319245592 nm
1.1808510451246585 nm,0.5112162260833604 nm,0.7230814970938341 nm
1.3284744010071277 nm,0.766993845998646 nm,0.7231034235986686 nm
1.3285049655372152 nm,0.4261182467808915 nm,0.4820405201095784 nm
1.1808667611641082 nm,0.6817145021045853 nm,0.4819824026779916 nm
1.328454213044899 nm,0.596496186949618 nm,0.24100009093642907 nm
1.1808288364367414 nm,0.8521133635396876 nm,0.2409010775920969 nm
1.4761217938678395 nm,0.51125893465928 nm,0.7230146017708138 nm
1.6237015475858314 nm,0.7669059151984879 nm,0.7229615002677559 nm
1.6236368605545817 nm,0.4260186945832536 nm,0.4820525306437592 nm
1.4760776872010197 nm,0.6816808954816281 nm,0.48195162543320225 nm
1.6236405250360606 nm,0.59651723415298 nm,0.24089208623574376 nm
1.4761134118676633 nm,0.8522054859121259 nm,0.24096529489027582 nm
1.7712933699599873 nm,0.5113139245325087 nm,0.7230877401000086 nm
1.9188023585610308 nm,0.7669294620438237 nm,0.7230661107525851 nm
1.9188759008584144 nm,0.4261024228979924 nm,0.4820582878083645 nm
1.7713166786168202 nm,0.6817068360772933 nm,0.48194465024908245 nm
1.918873821292424 nm,0.5965237123430883 nm,0.2409700525322147 nm
1.7713970880608383 nm,0.8521372522675167 nm,0.24106094543610426 nm
2.0664966925542907 nm,0.5112919023255103 nm,0.723059246711537 nm
2.2142157228239117 nm,0.7670048259718046 nm,0.7229546855798931 nm
2.2141167174364837 nm,0.4260456665971899 nm,0.4819871876617999 nm
2.066496175799035 nm,0.681760846566076 nm,0.48204672196513576 nm
2.214152424604587 nm,0.5964534165737512 nm,0.24093900173737448 nm
2.066521956062059 nm,0.8521840261175613 nm,0.2410120516487799 nm
2.3617120539250362 nm,0.5112381954199363 nm,0.7230418000329465 nm
2.509342626867312 nm,0.7669898308887579 nm,0.7229851096886254 nm
2.509311034185104 nm,0.4260810922307534 nm,0.48200214919690326 nm
2.361684099722925 nm,0.6817094641387245 nm,0.4818908052081258 nm
