x,y,z
-136609.9753446409 kJ nm⁻¹ mol⁻¹,-223959.96176444093 kJ nm⁻¹ mol⁻¹,-706755.4566762113 kJ nm⁻¹ mol⁻¹
-65019.25497452226 kJ nm⁻¹ mol⁻¹,-9871.30429004799 kJ nm⁻¹ mol⁻¹,-635836.5616517477 kJ nm⁻¹ mol⁻¹
-29172.898230333245 kJ nm⁻¹ mol⁻¹,-590220.8516534156 kJ nm⁻¹ mol⁻¹,-662836.8056595335 kJ nm⁻¹ mol⁻¹
-683672.2533307543 kJ nm⁻¹ mol⁻¹,-13841.429272920612 kJ nm⁻¹ mol⁻¹,-808283.8723083944 kJ nm⁻¹ mol⁻¹
-49530.88650112821 kJ nm⁻¹ mol⁻¹,-289285.52668291295 kJ nm⁻¹ mol⁻¹,-692622.439735278 kJ nm⁻¹ mol⁻¹
-908006.2655232399 kJ nm⁻¹ mol⁻¹,-225277.61593678204 kJ nm⁻¹ mol⁻¹,-701150.4993112088 kJ nm⁻¹ mol⁻¹
188339.10821670544 kJ nm⁻¹ mol⁻¹,-1.0232604816313138e6 kJ nm⁻¹ mol⁻¹,-464785.653663906 kJ nm⁻¹ mol⁻¹
-240329.19599055473 kJ nm⁻¹ mol⁻¹,440810.6044211123 kJ nm⁻¹ mol⁻¹,-648605.9245619364 kJ nm⁻¹ mol⁻¹
-240372.58483033176 kJ nm⁻¹ mol⁻¹,-1.2672768684559215e6 kJ nm⁻¹ mol⁻¹,-360971.6252373674 kJ nm⁻¹ mol⁻¹
474138.83086964564 kJ nm⁻¹ mol⁻¹,783368.3217546461 kJ nm⁻¹ mol⁻¹,-969249.5358917566 kJ nm⁻¹ mol⁻¹
-168918.31268078013 kJ nm⁻¹ mol⁻¹,-39579.724043333525 kJ nm⁻¹ mol⁻¹,-664776.557568916 kJ nm⁻¹ mol⁻¹
688449.1359298517 kJ nm⁻¹ mol⁻¹,-223704.48406960227 kJ nm⁻¹ mol⁻¹,-665075.5620567098 kJ nm⁻¹ mol⁻¹
-97498.64613918652 kJ nm⁻¹ mol⁻¹,-1.7048872713493467e6 kJ nm⁻¹ mol⁻¹,-226176.4932799328 kJ nm⁻¹ mol⁻¹
-97397.5504170183 kJ nm⁻¹ mol⁻¹,1.0276112652603039e6 kJ nm⁻¹ mol⁻¹,-598383.5912760522 kJ nm⁻¹ mol⁻¹
-97547.18036755332 kJ nm⁻¹ mol⁻¹,-1.948378513371626e6 kJ nm⁻¹ mol⁻¹,-122182.19437312723 kJ nm⁻¹ mol⁻¹
-97339.51136556687 kJ nm⁻¹ mol⁻¹,1.468123821857111e6 kJ nm⁻¹ mol⁻¹,-1.1356483382428268e6 kJ nm⁻¹ mol⁻¹
-97580.3065311985 kJ nm⁻¹ mol⁻¹,72630.00133982 kJ nm⁻¹ mol⁻¹,-628174.1376886895 kJ nm⁻¹ mol⁻¹
-97369.99938199704 kJ nm⁻¹ mol⁻¹,-221428.45302362426 kJ nm⁻¹ mol⁻¹,-628968.3553149207 kJ nm⁻¹ mol⁻¹
-97498.15381766012 kJ nm⁻¹ mol⁻¹,-2.3858691884778105e6 kJ nm⁻¹ mol⁻¹,12316.062027870074 kJ nm⁻¹ mol⁻¹
-97854.78659291018 kJ nm⁻¹ mol⁻¹,1.614007365563294e6 kJ nm⁻¹ mol⁻¹,-548087.1377576854 kJ nm⁻¹ mol⁻¹
-97273.40375854174 kJ nm⁻¹ mol⁻¹,-2.6292124201692888e6 kJ nm⁻¹ mol⁻¹,116582.76253973588 kJ nm⁻¹ mol⁻¹
-97577.41255304607 kJ nm⁻¹ mol⁻¹,2.1520889214313566e6 kJ nm⁻¹ mol⁻¹,-1.3015468570005342e6 kJ nm⁻¹ mol⁻¹
-97437.20007576654 kJ nm⁻¹ mol⁻¹,184604.9107766376 kJ nm⁻¹ mol⁻¹,-591512.2120715008 kJ nm⁻¹ mol⁻¹
-97515.65122958954 kJ nm⁻¹ mol⁻¹,-219299.0781503613 kJ nm⁻¹ mol⁻¹,-592908.602535656 kJ nm⁻¹ mol⁻¹
-97483.9791628496 kJ nm⁻¹ mol⁻¹,-3.0675660566290836e6 kJ nm⁻¹ mol⁻¹,250646.2911907104 kJ nm⁻¹ mol⁻¹
-97393.45997844922 kJ nm⁻¹ mol⁻¹,2.20080361515549e6 kJ nm⁻¹ mol⁻¹,-497744.87460255815 kJ nm⁻¹ mol⁻¹
-97514.67287034978 kJ nm⁻¹ mol⁻¹,-3.309684305968056e6 kJ nm⁻¹ mol⁻¹,355671.02913276764 kJ nm⁻¹ mol⁻¹
-97208.28824349446 kJ nm⁻¹ mol⁻¹,2.8358883254203005e6 kJ nm⁻¹ mol⁻¹,-1.468081660585635e6 kJ nm⁻¹ mol⁻¹
-97513.5039966809 kJ nm⁻¹ mol⁻¹,296697.044673839 kJ nm⁻¹ mol⁻¹,-554836.373569522 kJ nm⁻¹ mol⁻¹
-97657.35250216752 kJ nm⁻¹ mol⁻¹,-217036.82148227375 kJ nm⁻¹ mol⁻¹,-556905.4241557689 kJ nm⁻¹ mol⁻¹
-97200.12489596987 kJ nm⁻¹ mol⁻¹,-3.748501522624847e6 kJ nm⁻¹ mol⁻¹,488759.556838158 kJ nm⁻¹ mol⁻¹
-96533.0110051225 kJ nm⁻¹ mol⁻¹,2.7858249209213736e6 kJ nm⁻¹ mol⁻¹,-447586.7301757929 kJ nm⁻¹ mol⁻¹
-97546.20461742219 kJ nm⁻¹ mol⁻¹,-3.9896614438260123e6 kJ nm⁻¹ mol⁻¹,594276.6095275378 kJ nm⁻¹ mol⁻¹
-97173.42531368614 kJ nm⁻¹ mol⁻¹,3.518691813548575e6 kJ nm⁻¹ mol⁻¹,-1.6340265525154897e6 kJ nm⁻¹ mol⁻¹
-97557.0769088663 kJ nm⁻¹ mol⁻¹,408407.30438916903 kJ nm⁻¹ mol⁻¹,-517779.2379638217 kJ nm⁻¹ mol⁻¹
-97227.03189784545 kJ nm⁻¹ mol⁻¹,-214985.97921591648 kJ nm⁻¹ mol⁻¹,-520947.7091562562 kJ nm⁻¹ mol⁻¹
-97395.81386545004 kJ nm⁻¹ mol⁻¹,-4.427939982170216e6 kJ nm⁻¹ mol⁻¹,726670.8243842111 kJ nm⁻¹ mol⁻¹
-98542.34072276473 kJ nm⁻¹ mol⁻¹,3.3714424493888007e6 kJ nm⁻¹ mol⁻¹,-397297.4363909893 kJ nm⁻¹ mol⁻¹
-97014.87090606493 kJ nm⁻¹ mol⁻¹,-4.669505109603812e6 kJ nm⁻¹ mol⁻¹,832969.1265847347 kJ nm⁻¹ mol⁻¹
-97465.21296262939 kJ nm⁻¹ mol⁻¹,4.201285939255514e6 kJ nm⁻¹ mol⁻¹,-1.7982614544035795e6 kJ nm⁻¹ mol⁻¹
-97114.48069537245 kJ nm⁻¹ mol⁻¹,519882.9234052881 kJ nm⁻¹ mol⁻¹,-481186.674104621 kJ nm⁻¹ mol⁻¹
-97590.35352833185 kJ nm⁻¹ mol⁻¹,-212116.84157261986 kJ nm⁻¹ mol⁻¹,-484967.5259131245 kJ nm⁻¹ mol⁻¹
