x,y,z
-0.09208022036039491 nm ps⁻¹,-0.8585690602671535 nm ps⁻¹,-1.6578651929793589 nm ps⁻¹
0.2885310755922003 nm ps⁻¹,-0.04947721957656802 nm ps⁻¹,-1.3980518860642577 nm ps⁻¹
-0.03423115900387501 nm ps⁻¹,-1.4021258577704907 nm ps⁻¹,-1.6324757170675512 nm ps⁻¹
-1.4855590742535738 nm ps⁻¹,-0.021340548821500084 nm ps⁻¹,-1.8997153790187973 nm ps⁻¹
-0.04087354950455233 nm ps⁻¹,-0.6093711767261617 nm ps⁻¹,-1.3065792953112492 nm ps⁻¹
-2.0244404867196413 nm ps⁻¹,-0.5808517287669615 nm ps⁻¹,-1.365528363634387 nm ps⁻¹
-0.32378878989012405 nm ps⁻¹,-1.4930616651958102 nm ps⁻¹,-1.1161207853631425 nm ps⁻¹
-0.707367505983939 nm ps⁻¹,0.16406388342015474 nm ps⁻¹,-1.5895846648015157 nm ps⁻¹
-0.551028022978753 nm ps⁻¹,-3.1297115032142893 nm ps⁻¹,-1.148427512282289 nm ps⁻¹
1.0222788415939126 nm ps⁻¹,1.7163187494834173 nm ps⁻¹,-1.77431031822891 nm ps⁻¹
-0.5050060998382385 nm ps⁻¹,0.050379151188092226 nm ps⁻¹,-1.5910573775474561 nm ps⁻¹
1.38605333958109 nm ps⁻¹,-0.31827710126583986 nm ps⁻¹,-1.5147542487387822 nm ps⁻¹
-0.3126925818979667 nm ps⁻¹,-3.134080655801305 nm ps⁻¹,-0.2646435418373969 nm ps⁻¹
-0.40892933327845277 nm ps⁻¹,1.867899019120679 nm ps⁻¹,-1.4616501954373096 nm ps⁻¹
-0.10549415258345914 nm ps⁻¹,-4.895026644912234 nm ps⁻¹,-0.2725320161290221 nm ps⁻¹
-0.18512425466220922 nm ps⁻¹,3.569063160163651 nm ps⁻¹,-2.1755982388193855 nm ps⁻¹
-0.22311152606421922 nm ps⁻¹,0.18739121325834826 nm ps⁻¹,-1.566565614258203 nm ps⁻¹
-0.3032303058035318 nm ps⁻¹,-0.29688086048284107 nm ps⁻¹,-1.1304630135098312 nm ps⁻¹
-0.22522279151161256 nm ps⁻¹,-5.335607568015177 nm ps⁻¹,0.35704590120938134 nm ps⁻¹
0.09857763830886351 nm ps⁻¹,3.2701374396896035 nm ps⁻¹,-1.1746831714132138 nm ps⁻¹
-0.42569535561293725 nm ps⁻¹,-6.586833990749787 nm ps⁻¹,0.2736305333668704 nm ps⁻¹
-0.010950035617775574 nm ps⁻¹,5.658304940793429 nm ps⁻¹,-2.7858433936633453 nm ps⁻¹
-0.3253130604254499 nm ps⁻¹,0.6402702226009622 nm ps⁻¹,-1.5514748194326755 nm ps⁻¹
-0.2878493536225941 nm ps⁻¹,-0.3153207808870062 nm ps⁻¹,-1.2688514594592495 nm ps⁻¹
-0.31939929829791047 nm ps⁻¹,-5.57198777962431 nm ps⁻¹,0.9449458716528635 nm ps⁻¹
-0.36504446288596565 nm ps⁻¹,3.6916241872590456 nm ps⁻¹,-1.1597293009067589 nm ps⁻¹
-0.05436350683845633 nm ps⁻¹,-8.323065130674697 nm ps⁻¹,0.27355863386726204 nm ps⁻¹
-0.35139819908743813 nm ps⁻¹,6.915295917615231 nm ps⁻¹,-2.6765906282347176 nm ps⁻¹
-0.2568054812028981 nm ps⁻¹,0.6939799799298412 nm ps⁻¹,-1.389859627014044 nm ps⁻¹
-0.08921877892708842 nm ps⁻¹,-0.563421040956367 nm ps⁻¹,-1.1382414260161973 nm ps⁻¹
-0.49590068626068506 nm ps⁻¹,-6.8532998768833036 nm ps⁻¹,1.5701952099378476 nm ps⁻¹
-0.7175169893613051 nm ps⁻¹,5.5101150016245555 nm ps⁻¹,-0.8729471982852571 nm ps⁻¹
-0.04701057608119883 nm ps⁻¹,-10.093534515122908 nm ps⁻¹,0.9917444938405523 nm ps⁻¹
-0.30322240498643327 nm ps⁻¹,8.797240443608477 nm ps⁻¹,-3.0189135302332972 nm ps⁻¹
-0.3538001455882306 nm ps⁻¹,1.1363742327561854 nm ps⁻¹,-1.5593954826256786 nm ps⁻¹
-0.42497530283032126 nm ps⁻¹,-0.39401538324988156 nm ps⁻¹,-1.1587625750313886 nm ps⁻¹
-0.30397798168797213 nm ps⁻¹,-9.846469960599403 nm ps⁻¹,2.225676601247606 nm ps⁻¹
0.45509297711849034 nm ps⁻¹,6.76401636115019 nm ps⁻¹,-0.7034978804203101 nm ps⁻¹
-0.4466860590615981 nm ps⁻¹,-11.95836895315995 nm ps⁻¹,1.6005723280614084 nm ps⁻¹
-0.1485222021722426 nm ps⁻¹,10.392625936677097 nm ps⁻¹,-4.077500342652426 nm ps⁻¹
