x,y,z
0.4671118158537153 nm,2.5686207068535696 nm,-2.0768133646969646 nm
0.7382875385500566 nm,0.4665702539579954 nm,-1.8049969684344571 nm
0.8436422379565601 nm,1.322055161128368 nm,-1.9624207110660827 nm
1.6970167050804044 nm,0.6855373913231064 nm,-2.5073778393207746 nm
0.6680927057766369 nm,1.1098371049074989 nm,-2.688484608114595 nm
1.843689717802307 nm,0.44017954790052016 nm,-1.0552743368359117 nm
0.2948160183982238 nm,2.187437281421784 nm,0.08263396999817002 nm
0.6868833517517703 nm,1.2077347426504417 nm,-1.6089964165198845 nm
0.4866601417021408 nm,1.0494530315169923 nm,-0.49780122871785654 nm
1.083997900508502 nm,0.9315014254903432 nm,-0.7347204684489009 nm
0.6649225122091657 nm,1.9060580411333357 nm,-1.54068830636877 nm
1.721287388103901 nm,1.414177236449686 nm,-0.746828274006684 nm
0.8936115604752696 nm,1.8980207249809664 nm,-0.8720666716360412 nm
1.23609158090726 nm,1.234363336375911 nm,-1.5031064135241827 nm
0.9292542514667361 nm,2.781805700311102 nm,-0.19282761679359164 nm
1.2856096829750605 nm,1.810053887167132 nm,-1.6737021383287354 nm
1.0860256058897677 nm,1.5368955094996226 nm,-0.875238574874371 nm
1.4183980070025435 nm,1.3938252241765727 nm,-1.532106436834485 nm
1.0940592620251353 nm,0.5871601984431781 nm,0.08229111384865427 nm
1.2604140754370634 nm,1.4775863386587789 nm,-1.1079646087382002 nm
1.2891216830111893 nm,0.5057018038723805 nm,0.16243640729319242 nm
1.555063955862757 nm,1.507064184759613 nm,-0.8625347286918382 nm
1.264432082945318 nm,2.727720931174172 nm,-0.33409474505040915 nm
1.3424278589716117 nm,0.6385631069100406 nm,-1.0509731492257066 nm
1.4411013218765811 nm,2.8762524092001787 nm,0.3356258221389195 nm
1.6168161843417472 nm,0.9190949853672067 nm,-0.1940519757861776 nm
1.967852546008177 nm,1.1033782135908765 nm,-0.02290067971192616 nm
1.6609198776414715 nm,0.7588701484367593 nm,-0.20263177427746115 nm
1.8105520409749216 nm,2.2177635556360182 nm,-0.38630799247252395 nm
1.6270420963224517 nm,0.4988629338915078 nm,-0.44966871010439474 nm
1.7176619787574887 nm,1.184148552344597 nm,0.40290591660366337 nm
1.7831101900798292 nm,1.3515649058985133 nm,-0.15324215938954774 nm
2.2114430990106246 nm,1.8619964312158908 nm,0.22763400128760078 nm
1.9878068128589323 nm,1.0864876190730213 nm,0.20984331224017116 nm
2.207771033478896 nm,0.21689920841701957 nm,0.05221675896918432 nm
1.7163296007875386 nm,1.315279964700201 nm,-0.5967109651074002 nm
1.8183953854465682 nm,1.740455415017193 nm,0.6373005839545045 nm
2.1093917223523126 nm,0.9432892769751018 nm,-0.2572017051799413 nm
2.3845991889338265 nm,1.1198609997990268 nm,0.726041781009018 nm
2.2958095770918137 nm,0.9105978084450156 nm,0.35955866535624975 nm
2.281080930640555 nm,2.5501938617836863 nm,0.4147502567208008 nm
2.1718273697859938 nm,1.8057600446888893 nm,-0.29067739191882763 nm
2.3768007230363524 nm,1.2054271419091989 nm,0.9817950942869319 nm
2.335401031518579 nm,1.6081756888625744 nm,-0.20489435844889342 nm
2.2485884205203734 nm,1.28144981398613 nm,0.49721092187330784 nm
2.400825162489055 nm,0.9489640383812552 nm,0.5541899459020118 nm
2.8022670185585246 nm,1.980728421213093 nm,0.5052090900433437 nm
2.264011048458803 nm,0.939007638448972 nm,-0.18403499137955132 nm
2.305170761301948 nm,3.028218298303102 nm,1.6394134869132946 nm
2.080271210118091 nm,1.583340997311708 nm,-0.1033231425068037 nm
2.0852088021802375 nm,1.4103083389639623 nm,1.2385289253229108 nm
2.3508139112970454 nm,0.9094617345119002 nm,0.8322056006527406 nm
2.48989741770427 nm,2.3672559720230715 nm,0.26299743094462313 nm
2.4182537093683805 nm,1.8893414682453327 nm,0.14534279845932024 nm
1.9321742657501233 nm,1.0784519989627428 nm,2.1741854267714036 nm
1.5947965401814777 nm,1.9681249297590313 nm,0.3416483331782389 nm
1.9460805210269652 nm,1.7425178800276464 nm,1.4659367863374981 nm
1.9280426858099506 nm,1.0256767108777216 nm,0.585921457326827 nm
2.717539055552483 nm,2.227278353075727 nm,0.7627212319079273 nm
2.103678471819982 nm,1.9199879469516892 nm,0.3583146909490186 nm
2.4348221787087003 nm,1.4820989256931445 nm,2.079692961730632 nm
1.5305263009181047 nm,2.4279270532347557 nm,1.8308870768683052 nm
3.029434191213394 nm,1.772674383701915 nm,0.7903454218392342 nm
2.135933006819735 nm,0.9005640290326931 nm,1.474772061053072 nm
2.3634854749015193 nm,1.5147282892597185 nm,0.9931922859101567 nm
2.160492421420849 nm,1.3141165568831097 nm,1.4039778471096422 nm
0.7843577950917714 nm,1.1444582121316482 nm,2.0430358827474135 nm
1.8343862180764863 nm,1.1266695980966477 nm,1.3079624959527663 nm
0.7479477426237078 nm,0.5200629037606218 nm,0.017290265071655504 nm
2.886861802800107 nm,0.4716588852328526 nm,1.3149934547060642 nm
1.1559952964024611 nm,0.6784268173916015 nm,0.37783771306314223 nm
0.25012814822836366 nm,0.8915039881680905 nm,1.1368082125907213 nm
1.3386993296953875 nm,0.7471743769121018 nm,0.6537890247436533 nm
1.9376614283204123 nm,0.7208330363393198 nm,0.8466576496577289 nm
1.3225409362853602 nm,1.3211007072049752 nm,-0.5028684768705944 nm
1.5886054535393308 nm,0.895104026205676 nm,0.6034875458999649 nm
1.4702614299308774 nm,1.3567028791820825 nm,-0.054753262959647636 nm
1.0119717822553402 nm,1.6196351760613474 nm,0.4982327291505899 nm
1.2612162727288871 nm,0.3614287282192552 nm,0.48411700049915585 nm
1.7219811479858167 nm,0.5178259746147489 nm,0.6873365380214156 nm
1.8781870198753738 nm,1.6498526537361575 nm,-1.242954827613682 nm
